source,weight,notes
VirusTotal,1.0,Platform baseline weight
Microsoft,0.95,High reputation and strong malware detection history
Kaspersky,0.9,High reputation, frequently accurate
CrowdStrike,0.9,Enterprise-grade threat intelligence
ESET,0.85,Good threat detection coverage
TrendMicro,0.85,Strong web and URL scanning
Bitdefender,0.8,Consistent malware detection
Symantec,0.8,Popular enterprise antivirus
McAfee,0.75,Good coverage but sometimes noisy
Sophos,0.75,Enterprise focus
Avast,0.7,High coverage but more false positives
Avira,0.7,Good detection performance
Malwarebytes,0.65,Good for malware but less URL specialization
Tencent,0.65,Large coverage in APAC
Yandex,0.6,Regional engine with moderate reliability
Fortinet,0.6,Strong enterprise firewall intelligence
GData,0.55,Smaller engine with less consistent coverage
AegisLab,0.55,Specialized research engine
Qihoo-360,0.5,Lower accuracy on some samples
Zoner,0.4,Smaller or less trusted engine
Zillya,0.4,Less accurate in URL scans
Unknown,0.3,Default low weight for unrecognized engines
